x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
7.800000000000000000e+01,-1.287579999999999975e-03,-3.324769999999999809e-02,3.196011999999999464e-02,1.910209999999999964e+00,-1.052630000000000088e+01
7.900000000000000000e+01,-6.635019999999999503e-04,-3.267599999999999671e-02,3.201249799999999340e-02,1.143540000000000001e+00,-1.052630000000000088e+01
8.000000000000000000e+01,-7.011219999999999594e-05,-3.248729999999999674e-02,3.241718779999999689e-02,3.774049999999999905e-01,1.052630000000000088e+01
8.100000000000000000e+01,5.518069999999999703e-04,-3.268130000000000340e-02,3.323310700000000478e-02,-3.881390000000000118e-01,1.052630000000000088e+01
8.200000000000000000e+01,1.146550000000000086e-03,-3.325789999999999996e-02,3.440445000000000308e-02,-1.153110000000000079e+00,1.052630000000000088e+01
8.300000000000000000e+01,1.766290000000000004e-03,-3.345100000000000157e-02,3.521728999999999832e-02,-3.862450000000000050e-01,1.052630000000000088e+01
8.400000000000000000e+01,2.361199999999999931e-03,-3.326060000000000128e-02,3.562180000000000207e-02,3.807679999999999954e-01,1.052630000000000088e+01
8.500000000000000000e+01,2.979900000000000170e-03,-3.268669999999999909e-02,3.566659999999999969e-02,1.147920000000000051e+00,-1.052630000000000088e+01
8.600000000000000000e+01,3.572640000000000191e-03,-3.172950000000000076e-02,3.530214000000000268e-02,1.914379999999999971e+00,-1.052630000000000088e+01
8.700000000000000000e+01,4.191420000000000388e-03,-3.038940000000000044e-02,3.458081999999999823e-02,2.680140000000000189e+00,-1.052630000000000088e+01
8.800000000000000000e+01,4.783120000000000080e-03,-2.943269999999999914e-02,3.421582000000000096e-02,1.913389999999999924e+00,-1.052630000000000088e+01
8.900000000000000000e+01,5.403110000000000031e-03,-2.885930000000000092e-02,3.426241000000000009e-02,1.146840000000000082e+00,-1.052630000000000088e+01
9.000000000000000000e+01,5.990299999999999618e-03,-2.866930000000000173e-02,3.465959999999999874e-02,3.800080000000000124e-01,1.052630000000000088e+01
9.100000000000000000e+01,6.609160000000000208e-03,-2.886239999999999986e-02,3.547155999999999920e-02,-3.862559999999999882e-01,1.052630000000000088e+01
9.200000000000000000e+01,7.196420000000000247e-03,-2.943839999999999998e-02,3.663481999999999850e-02,-1.151939999999999964e+00,1.052630000000000088e+01
9.300000000000000000e+01,7.814140000000000669e-03,-2.963129999999999931e-02,3.744543999999999651e-02,-3.857490000000000085e-01,1.052630000000000088e+01
9.400000000000000000e+01,8.399149999999999325e-03,-2.944099999999999842e-02,3.784014999999999601e-02,3.806379999999999764e-01,1.052630000000000088e+01
9.500000000000000000e+01,9.014549999999999647e-03,-2.886740000000000139e-02,3.788194999999999757e-02,1.147199999999999998e+00,-1.052630000000000088e+01
9.600000000000000000e+01,9.673960000000000545e-03,-2.791079999999999950e-02,3.758476000000000178e-02,1.913129999999999997e+00,-1.052630000000000088e+01
9.700000000000000000e+01,1.021719999999999920e-02,-2.657160000000000077e-02,3.678879999999999650e-02,2.678389999999999826e+00,-1.052630000000000088e+01
9.800000000000000000e+01,1.080000000000000057e-02,-2.561570000000000166e-02,3.641570000000000223e-02,1.911689999999999889e+00,-1.052630000000000088e+01
9.900000000000000000e+01,1.141290000000000013e-02,-2.504340000000000038e-02,3.645629999999999704e-02,1.144719999999999960e+00,-1.052630000000000088e+01
1.000000000000000000e+02,1.199560000000000036e-02,-2.485460000000000100e-02,3.685019999999999962e-02,3.774970000000000270e-01,1.052630000000000088e+01
